27 2 0 | Od.18.414-Od.18.417 Od.20.322-Od.20.325 | ὦ φίλος οὐ ἄν δή τις ἐπί ἐρῶ δίκαιος ἀντίβιος ἔπος καθάπτω χαλεπαίνω μήτε τις ὁ ξένος στυφελίζω μήτε τις ἄλλος δμῶος ὅς κατά δῶμα Ὀδυσσεύς θεῖος
27 2 0 | Od.19.140-Od.19.144 Od.2.95-Od.2.99 | μετεῖπον κόρος ἐμός μνηστήρ ἐπεί θνήσκω δῖος Ὀδυσσεύς μίμνω ἐπείγω ὁ ἐμός γάμος εἰς ὅς ἄν φᾶρος ἐκτελέω μή ἐγώ μεταμώνιος νῆμα ὄλλυμι Λαέρτης ἥρως ταφήιος εἰς
26 2 0 | Od.10.532-Od.10.536 Od.11.45-Od.11.49 | μῆλον ὁ δή κατακείω σφάζω νηλής χαλκός δέρω κατακαίω ἐπεύχομαι δέ θεός ἴφθιμος τε ᾍδης καί ἐπαινός Περσεφόνεια αὐτός δέ ξίφος ὀξύς ἐρύω παρά μηρός ἧμαι
26 2 0 | Od.4.780-Od.4.783 Od.8.51-Od.8.54 | ἅλς βένθος ἐρύω ἐν δέ ἱστός τε τίθημι καί ἱστίον ναῦς μέλας ἀρτύνω δέ ἐρετμόν τροπός ἐν δερμάτινος πᾶς κατά μοῖρα ἀνά τε ἱστίον λευκός πετάννυμι
25 2 0 | Od.11.130-Od.11.134 Od.23.277-Od.23.281 | ἱερόν καλός Ποσειδεών ἄναξ ἀρνειός ταῦρος τε ὗς τε ἐπιβήτωρ κάπρος οἴκαδε ἀποστείχω ἔρδω τε ἱερός ἑκατόμβη ἀθάνατος θεός ὁ οὐρανός εὐρύς ἔχω πᾶς μάλα
25 2 0 | Od.12.403-Od.12.406 Od.14.301-Od.14.304 | λείπω οὐ δέ τις ἄλλος φαίνω γαῖα ἀλλά οὐρανός ἠδέ θάλασσα δή τότε κυάνεος νεφέλη ἵστημι Κρονίων ναῦς ὑπέρ γλαφυρός ἀχλύω δέ πόντος ὑπό αὐτός
25 2 0 | Od.2.108-Od.2.110 Od.24.144-Od.24.146 | καί τότε δή τις εἶπον γυνή ὅς σάφα οἶδα καί ὁ γε ἀναλύω ἐφευρίσκω ἀγλαός ἱστός ὡς ὁ μέν ἐκτελέω καί οὐ ἐθέλω ὑπό ἀνάγκη
25 2 0 | Od.9.309-Od.9.311 Od.9.342-Od.9.344 | πᾶς κατά μοῖρα καί ὑπό ἔμβρυον ἵημι ἕκαστος ἀτάρ ἐπεί δή σπεύδω πονέω ὁ ἑός ἔργον σύν δέ ὁ γε δή αὖτε δύο μάρπτω ὁπλίζω
24 2 0 | Od.10.56-Od.10.59 Od.9.85-Od.9.88 | ἔνθα δέ ἐπί ἤπειρος βαίνω καί ἀφύσσω ὕδωρ αἶψα δέ δεῖπνον αἱρέω θοός παρά ναῦς ἑταῖρος ἀτάρ ἐπεί σῖτος τε πατέομαι ἠδέ ποτής δή
24 3 2 | Od.10.183-Od.10.185 Od.12.29-Od.12.31 Od.9.556-Od.9.558 | ὡς τότε μέν πρόπας ἦμαρ εἰς ἠέλιος καταδύω ἧμαι δαίνυμι κρέας τε ἄσπετος καί μέθυ ἡδύς ἦμος δέ ἠέλιος καταδύω καί ἐπί κνέφας ἔρχομαι
