27 2 0 | Il.2.160:0/8-Il.2.163:5/7 Il.2.176:0/8-Il.2.179:5/10 | κατά δέ ἄν εὐχωλή Πρίαμος καί Τρώς λείπω Ἀργεῖος Ἑλένη ὅς ἕνεκα πολύς Ἀχαιός ἐν Τροία ἀπόλλυμι φίλος ἀπό πατρίς αἶα ἀλλά εἶμι νῦν κατά λαός Ἀχαιός
26 2 0 | Il.1.13:0/7-Il.1.16:5/6 Il.1.372:0/7-Il.1.375:5/6 | λύω τε θυγάτηρ φέρω τε ἀπερείσιος ἄποινα στέμμα ἔχω ἐν χείρ ἑκηβόλος Ἀπόλλων χρύσεος ἀνά σκῆπτρον καί λίσσομαι πᾶς Ἀχαιός Ἀτρείδης δέ μάλιστα δύο κοσμήτωρ λαός
26 2 0 | Il.13.420:0/7-Il.13.423:5/6 Il.8.331:0/7-Il.8.334:5/6 | ἀλλά θέω περιβαίνω καί ἕ σάκος ἀμφικαλύπτω ὁ μέν ἔπειτα ὑποδύομαι δύο ἐρίηρος ἑταῖρος Μηκιστεύς Ἐχίος παῖς καί δῖος Ἀλάστωρ ναῦς ἐπί γλαφυρός φέρω βαρύς στενάχω
25 2 0 | Il.13.535:3/6-Il.13.538:7/8 Il.14.429:5/8-Il.14.432:7/8 | ὄφρα ἱκνέομαι ἵππος ὠκύς ὅς ἕ ὄπισθεν μάχη ἠδέ πόλεμος ἵστημι ἡνίοχος τε καί ἅρμα ποικίλος ἔχω ὁ ὁ γε πρός ἄστυ φέρω βαρύς στενάχω
25 2 0 | Il.2.139:0/8-Il.2.142:3/8 Il.9.26:0/8-Il.9.29:3/9 | ἀλλά ἄγε ὡς ἄν ἐγώ εἶπον πείθω πᾶς φεύγω σύν ναῦς φίλος εἰς πατρίς γαῖα οὐ γάρ ἔτι Τροία αἱρέω εὐρυάγυια ὡς φημί ὁ δέ
24 2 0 | Il.13.23:2/7-Il.13.26:5/6 Il.8.41:2/7-Il.8.44:5/6 | ὑπό ὄχος τιτύσκομαι χαλκόπους ἵππος ὠκυπέτης χρύσεος ἔθειρα κομάω χρυσός δέ αὐτός δύω περί χρώς γέντο δέ ἱμάσθλη χρύσεος εὔτυκτος ἑός δέ ἐπιβαίνω δίφρος
24 2 0 | Il.13.174:0/6-Il.13.177:0/8 Il.15.549:0/6-Il.15.552:0/10 | ἀτάρ ἐπεί Δαναοί ναῦς ἔρχομαι ἀμφιέλισσα ἄψ εἰς Ἴλιος ἔρχομαι μεταπρέπω δέ Τρώς ναίω δέ παρά Πρίαμος ὁ δέ μιν τίω ἴσος τέκος ὁ
24 2 0 | Il.13.390:1/8-Il.13.393:3/4 Il.16.483:1/8-Il.16.486:3/4 | πίτυς βλωθρός ὁ τε ὄρος τέκτων ἀνήρ ἐκτέμνω πέλεκυς νεηκής νήιος εἰμί ὡς ὁ πρόσθεν ἵππος καί δίφρος κεῖμαι τανύω βρυχάομαι κόνις δράσσομαι αἱματόεις
23 2 0 | Il.11.189:2/7-Il.11.192:3/7 Il.11.204:3/8-Il.11.207:3/7 | ὁ δέ ἄλλος λαός ἄνωγα μάρναμαι δάιος κατά κρατερός ὑσμίνη ἀτάρ ἐπεί ἄν ἤ δόρυ τύπτω ἤ βάλλω ἰός εἰς ἵππος ἅλλομαι τότε
23 2 0 | Il.20.315:4/7-Il.20.318:4/7 Il.21.374:4/7-Il.21.377:4/8 | ἀλέξω κακός ἦμαρ μή δέ ὁπότε ἄν Τροία μαλερός πῦρ πᾶς δαίω καίω καίω δέ ἄρειος υἱός Ἀχαιός ἀτάρ ἐπεί ὁ γε ἀκούω
