36 2 0 | Od.1.331:0/9-Od.1.335:6/7 Od.18.207:0/9-Od.18.211:6/7 | οὐ οἶος ἅμα ὁ γε καί ἀμφίπολος δύο ἕπομαι ὁ δέ ὅτε δή μνηστήρ ἀφικνέομαι δῖος γυνή ἵστημι ἄρα παρά σταθμός τέγος πύκα ποιητός ἄντα παρειά ἔχω λιπαρός κρήδεμνον ἀμφίπολος δέ ἄρα ἕ κεδνός ἑκάτερθε παρίστημι
36 2 0 | Od.10.183:0/8-Od.10.187:5/6 Od.9.556:0/8-Od.9.560:5/6 | ὡς τότε μέν πρόπας ἦμαρ εἰς ἠέλιος καταδύω ἧμαι δαίνυμι κρέας τε ἄσπετος καί μέθυ ἡδύς ἦμος δέ ἠέλιος καταδύω καί ἐπί κνέφας ἔρχομαι δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς
35 2 0 | Od.14.331:0/8-Od.14.335:4/5 Od.19.288:0/8-Od.19.292:4/5 | ὄμνυμι δέ πρός ἐγώ αὐτός ἀποσπένδω ἐν οἶκος ναῦς κατερύω καί ἐπαρτής εἰμί ἑταῖρος ὅς δή μιν πέμπω φίλος εἰς πατρίς γαῖα ἀλλά ἐγώ πρίν ἀποπέμπω τυγχάνω γάρ ἔρχομαι ναῦς ἀνήρ Θεσπρωτοί εἰς Δουλίχιον πολύπυρος
35 2 0 | Od.4.427:0/7-Od.4.431:5/6 Od.4.572:0/7-Od.4.576:5/6 | εἶμι πολύς δέ ἐγώ καρδία πορφύρω κίω ἀτάρ ἐπεί ἄρα ἐπί ναῦς κατέρχομαι ἠδέ θάλασσα δόρπον τε ὁπλίζω ἐπί τε ἔρχομαι ἀμβρόσιος νύξ δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς
34 2 0 | Il.1.464:0/8-Il.1.468:4/8 Il.2.427:0/8-Il.2.431:4/8 | ἀτάρ ἐπεί κατά μῆρα καίω καί σπλάγχνον πατέομαι μιστύλλω τε ἄρα ἄλλος καί ἀμφί ὀβελός πείρω ὀπτάω τε περιφραδής ἐρύω τε πᾶς ἀτάρ ἐπεί παύω πόνος τεύχω τε δαίς δαίνυμι οὐ δέ τις θυμός
34 2 0 | Il.4.21:4/8-Il.4.25:5/6 Il.8.458:4/8-Il.8.462:5/6 | κακός δέ Τρώς μέδομαι ἤτοι Ἀθήνη ἀκέων εἰμί οὐ δέ τις εἶπον σκύζομαι Ζεύς πατήρ χόλος δέ μιν ἄγριος αἱρέω Ἥρα δέ οὐ χανδάνω στῆθος χόλος ἀλλά προσαυδάω αἰνός Κρονίδης ποῖος ὁ μῦθος εἶπον
34 2 0 | Od.18.329:7/8-Od.18.333:6/7 Od.18.389:8/9-Od.18.393:6/7 | ἀγορεύω θαρσαλέος πολύς μετά ἀνήρ οὐ δέ τις θυμός ταρβέω ἦ ἄρα σύ οἶνος ἔχω φρήν ἤ νῦν σύ ἀεί τοιοῦτος νόος εἰμί ὅς καί μεταμώνιος βάζω ἦ ἀλύω ὅτι Ἶρος νικάω ὁ ἀλήτης
33 2 0 | Od.11.111:1/9-Od.11.114:6/7 Od.12.138:2/10-Od.12.141:6/7 | ἄν ἔτι εἰς Ἰθάκη κακός πέρ πάσχω ἱκνέομαι εἰ δέ ἄν σίνομαι τότε σύ τεκμαίρομαι ὄλεθρος ναῦς τε καί ἑταῖρος αὐτός δέ εἰ πέρ ἄν ἀλύσκω ὀψέ κακός νέομαι ὄλλυμι ἀπό πᾶς ἑταῖρος
33 2 0 | Od.23.157:3/8-Od.23.162:0/9 Od.6.230:3/8-Od.6.235:0/9 | καί πάσσων κατά δέ κάρα οὖλος ἵημι κόμη ὑακίνθινος ἄνθος ὁμοῖος ὡς δέ ὅτε τις χρυσός περιχέω ἄργυρος ἀνήρ ἴδρις ὅς Ἥφαιστος δάω καί Παλλάς Ἀθήνη τέχνη παντοῖος χαρίεις δέ ἔργον τελέω ὡς
32 2 0 | Od.1.170:1/9-Od.1.173:8/9 Od.14.187:1/9-Od.14.190:8/9 | πόθεν εἰμί ἀνήρ πόθι σύ πόλις ἠδέ τοκεύς ὁποῖος τε ἐπί ναῦς ἀφικνέομαι πῶς δέ σύ ναύτης ἄγω εἰς Ἰθάκη τις εἰμί εὐχετάομαι οὐ μέν γάρ τις σύ πεζός οἴομαι ἐνθάδε ἱκνέομαι
32 3 0 | Od.17.143:0/7-Od.17.146:7/8 Od.4.557:0/7-Od.4.560:7/8 Od.5.14:0/7-Od.5.17:7/8 | νύμφη ἐν μέγαρον Καλυψώ ὅς μιν ἀνάγκη ἴσχω ὁ δέ οὐ δύναμαι ἑός πατρίς γαῖα ἱκνέομαι οὐ γάρ ἕ παρά ναῦς ἐπήρετμος καί ἑταῖρος ὅς ἄν μιν πέμπω ἐπί εὐρύς νῶτον θάλασσα
32 2 0 | Od.19.577:0/8-Od.19.581:6/7 Od.21.75:0/8-Od.21.79:6/7 | ὅς δέ ἄν ῥᾴδιος ἐντανύω βιός ἐν παλάμη καί διοιστεύω πέλεκυς δυοκαίδεκα πᾶς ὁ ἄν ἅμα ἕπομαι νοσφίζομαι ὅδε δῶμα κουρίδιος μάλα καλός ἔμπλεος βίοτος ὁ ποτέ μιμνήσκω οἴομαι ἐν πέρ ὄνειρος
31 2 0 | Il.10.308:2/7-Il.10.312:4/5 Il.10.395:2/7-Il.10.399:4/5 | σχεδόν ἔρχομαι ἐκ τε πυνθάνομαι ἤ φυλάσσω ναῦς θοός ὡς ὁ πάρος πέρ ἤ ἤδη χείρ ὑπό ἡμέτερος δαμάζω φύξις βουλεύω μετά σφεῖς οὐ δέ ἐθέλω νύξ φυλάσσω κάματος ἀδέω αἰνός
31 2 0 | Il.16.135:0/7-Il.16.139:2/8 Il.3.334:0/7-Il.3.338:2/8 | ἀμφί δέ ἄρα ὦμος βάλλω ξίφος ἀργυρόηλος χάλκεος ἀτάρ ἔπειτα σάκος μέγας τε στιβαρός τε κράς δέ ἐπί ἴφθιμος κυνέη εὔτυκτος τίθημι ἵππουρις δεινός δέ λόφος καθύπερθε νεύω αἱρέω δέ ἄλκιμος
31 2 0 | Il.18.55:9/10-Il.18.60:2/5 Il.18.436:7/8-Il.18.441:2/5 | τε ἔξοχος ἥρως ὁ δέ ἀνατρέχω ἔρνος ἴσος ὁ μέν ἐγώ τρέφω φυτόν ὡς γουνός ἀλωή ναῦς ἐπιπροίημι κορωνίς Ἴλιος εἴσω Τρώς μάχομαι ὁ δέ οὐ ὑποδέχομαι αὖθις οἴκαδε νοστέω δόμος
31 2 0 | Il.5.733:0/5-Il.5.737:4/5 Il.8.384:0/5-Il.8.388:4/5 | ἀτάρ Ἀθήνη κόρη Ζεύς αἰγίοχος πέπλος μέν καταχεύω ἑανός πατήρ ἐπί οὖδας ποικίλος ὅς ἄρα αὐτός ποιέω καί κάμνω χείρ ὁ δέ χιτών ἐνδύω Ζεύς νεφεληγερέτα τεῦχος εἰς πόλεμος θωρήσσω δακρυόεις
31 2 0 | Od.17.126:0/7-Od.17.131:1/6 Od.4.335:1/8-Od.4.340:1/6 | δέ ὁπότε ἐν ξύλοχος ἔλαφος κρατερός λέων νεβρός κοιμάω νεηγενής γαλαθηνός κνημός ἐξέρομαι καί ἄγκος ποιήεις βόσκω ὁ δέ ἔπειτα ἑός εἰσέρχομαι εὐνή ἀμφότερος δέ ὁ ἀεικής πότμος ἐφίημι ὡς Ὀδυσσεύς
31 2 0 | Od.8.93:0/7-Od.8.97:4/5 Od.8.532:0/7-Od.8.536:4/5 | ἔνθα ἄλλος μέν πᾶς λανθάνω δάκρυον λείβω Ἀλκίνοος δέ μιν οἶος ἐπιφράζω ἠδέ νοέω ἧμαι ἄγχι αὐτός βαρύς δέ στενάχω ἀκούω αἶψα δέ Φαίαξ φιλήρετμος μεταυδάω κλύω Φαίαξ ἡγήτωρ ἠδέ μέδων
30 2 0 | Il.11.211:1/8-Il.11.215:1/5 Il.5.494:1/8-Il.5.498:1/7 | δέ ἐκ ὄχος σύν τεῦχος ἅλλομαι χαμᾶζε πάλλω δέ ὀξύς δόρυ κατά στρατός οἴχομαι πάντῃ ὀτρύνω μάχομαι ἐγείρω δέ φύλοπις αἰνός ὁ δέ ἐλελίζω καί ἐναντίος ἵστημι Ἀχαιός Ἀργεῖος δέ
30 2 0 | Il.11.799:5/7-Il.11.804:1/9 Il.16.41:5/7-Il.16.46:1/8 | ἀπέχω πόλεμος Τρώς ἀναπνέω δέ ἄρειος υἱός Ἀχαιός τείρω ὀλίγος δέ τε ἀνάπνευσις πόλεμος ῥεῖα δέ ἄν ἀκμής κάμνω ἀνήρ ἀυτή ὠθέω πρός ἄστυ ναῦς ἀπό καί κλισία ὡς φημί
30 2 0 | Il.16.610:0/8-Il.16.613:7/8 Il.17.526:0/8-Il.17.529:7/8 | ἀλλά ὁ μέν ἄντα εἶδον ἀλέομαι χάλκεος ἔγχος πρόσω γάρ κατακύπτω ὁ δέ ἐξόπιθεν δόρυ μακρός οὖδας ἐνσκίμπτω ἐπί δέ οὐρίαχος πελεμίζω ἔγχος ἔνθα δέ ἔπειτα ἀφίημι μένος ὄβριμος Ἄρης
29 2 0 | Il.11.534:1/8-Il.11.537:6/9 Il.20.499:2/9-Il.20.502:6/9 | νέκυς τε καί ἀσπίς αἷμα δέ ἄξων ἔνερθε ἅπας παλάσσω καί ἄντυξ ὅς περί δίφρος ὅς ἄρα ἀπό ἵππειος ὁπλή ῥαθάμιγξ βάλλω ὅς τε ἀπό ἐπίσωτρον ὁ δέ ἵημι
29 2 0 | Il.3.70:1/7-Il.3.73:7/8 Il.3.91:1/7-Il.3.94:7/8 | ἀμφί Ἑλένη καί κτῆμα πᾶς μάχομαι ὁπότερος δέ ἄν νικάω κρείσσων τε γίγνομαι κτῆμα αἱρέω εὖ πᾶς γυνή τε οἴκαδε ἄγω ὅς δέ ἄλλος φιλότης καί ὅρκιον πιστός τέμνω
29 2 0 | Il.7.323:0/8-Il.7.327:0/6 Il.9.92:0/8-Il.9.96:0/5 | ἀτάρ ἐπεί πόσις καί ἐδητύς ἐκ ἔρος ἵημι ὁ ὁ γέρων πάμπρωτος ὑφαίνω ἄρχω μῆτις Νέστωρ ὅς καί πρόσθεν ἄριστος φαίνω βουλή ὁ σφεῖς εὐφρονέων ἀγοράομαι καί μετεῖπον Ἀτρείδης
29 2 0 | Il.9.428:2/8-Il.9.431:4/6 Il.9.691:2/8-Il.9.694:4/6 | ἐν ναῦς φίλος εἰς πατρίς ἕπομαι αὔριον ἐάν ἐθέλω ἀνάγκη δέ οὐ τις μιν ἄγω ὡς φημί ὁ δέ ἄρα πᾶς ἀκήν γίγνομαι σιωπή μῦθος ἄγαμαι μάλα γάρ κρατερός
29 2 0 | Od.3.92:0/9-Od.3.95:6/7 Od.4.322:0/9-Od.4.325:6/7 | τοὔνεκα νῦν ὁ σός γόνυ ἱκάνω εἰ ἄν ἐθέλω ἐκεῖνος λυγρός ὄλεθρος ἐνέπω εἰ πού ὁράω ὀφθαλμός τεός ἤ ἄλλος μῦθος ἀκούω πλάζω περί γάρ μιν ὀιζυρός τίκτω μήτηρ
29 2 0 | Od.4.379:0/10-Od.4.382:3/8 Od.4.468:0/10-Od.4.471:3/8 | ἀλλά σύ πέρ ἐγώ εἶπον θεός δέ τε πᾶς οἶδα ὅς τις ἐγώ ἀθάνατος πεδάω καί δέω κέλευθος νόστος τε ὡς ἐπί πόντος ἔρχομαι ἰχθυόεις ὡς φημί ὁ δέ
28 2 0 | Il.18.384:0/12-Il.18.386:9/10 Il.18.423:0/12-Il.18.425:9/10 | ἐν τε ἄρα ἕ φύω χείρ ἔπος τε φημί ἐκ τε ὀνομάζω τίπτε Θέτις τανύπεπλος ἱκάνω ἡμέτερος δῶμα αἰδοῖος τε φίλος τε πάρος γε μέν οὐ τις θαμίζω
28 6 2 | Od.1.136:0/6-Od.1.140:4/5 Od.10.368:0/6-Od.10.372:4/5 Od.15.135:0/6-Od.15.139:4/5 Od.17.91:0/6-Od.17.95:4/5 Od.4.52:0/6-Od.4.56:4/5 Od.7.172:0/6-Od.7.176:4/5 | χέρνιψ δέ ἀμφίπολος πρόχοος ἐπιχέω φέρω καλός χρύσεος ὑπέρ ἀργύρεος λέβης νίζω παρά δέ ξεστός τανύω τράπεζα σῖτος δέ αἰδοῖος ταμία παρατίθημι φέρω εἶδαρ πολύς ἐπιτίθημι χαρίζομαι πάρειμι
28 2 0 | Od.1.299:5/6-Od.1.302:8/9 Od.3.197:5/6-Od.3.200:8/9 | πατροφονεύς Αἴγισθος δολομήτης ὁ ἕ πατήρ κλυτός κτείνω καί σύ φίλος μάλα γάρ σύ ὁράω καλός τε μέγας τε ἄλκιμος εἰμί ἵνα τις σύ καί ὀψίγονος εὖ εἶπον
28 2 0 | Od.10.185:0/8-Od.10.188:7/8 Od.9.168:0/8-Od.9.171:7/8 | ἦμος δέ ἠέλιος καταδύω καί ἐπί κνέφας ἔρχομαι δή τότε κοιμάω ἐπί ῥηγμίν θάλασσα ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς καί τότε ἐγώ ἀγορά τίθημι μετά πᾶς εἶπον
28 2 0 | Od.15.189:1/6-Od.15.192:7/8 Od.3.491:1/6-Od.3.494:7/8 | δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς ἵππος τε ζεύγνυμι ἀνά τε ἅρμα ποικίλος βαίνω ἐκ δέ ἐλαύνω πρόθυρον καί αἴθουσα ἐρίδουπος μαστίζω δέ ἐλαύνω ὁ δέ οὐ ἀέκων πέτομαι
28 2 0 | Od.21.236:0/5-Od.21.239:6/7 Od.21.382:0/5-Od.21.385:6/7 | κλείω μέγαρον θύρα πυκνός ἀραρίσκω ἐάν δέ τις ἤ στοναχή ἠέ κτύπος ἔνδον ἀκούω ἀνήρ ἡμέτερος ἐν ἕρκος μή τις θύραζε προβλώσκω ἀλλά αὐτοῦ ἀκήν εἰμί παρά ἔργον
28 2 0 | Od.4.297:0/7-Od.4.300:8/9 Od.7.336:0/7-Od.7.339:8/9 | δέμνιον ὑπό αἴθουσα τίθημι καί ῥῆγος καλός πορφύρεος ἐμβάλλω στορέννυμι τε ἐφύπερθε τάπης χλαῖνα τε ἐντίθημι οὖλος καθύπερθε ἕζομαι ὁ δέ εἶμι ἐκ μέγαρον δάος μετά χείρ ἔχω
27 2 0 | Il.1.22:0/6-Il.1.25:7/8 Il.1.376:0/6-Il.1.379:7/8 | ἔνθα ἄλλος μέν πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι τε ἱερεύς καί ἀγλαός δέχομαι ἄποινα ἀλλά οὐ Ἀτρείδης Ἀγαμέμνων ἁνδάνω θυμός ἀλλά κακός ἀφίημι κρατερός δέ ἐπί μῦθος τέλλω
27 2 0 | Il.18.425:0/10-Il.18.427:7/8 Od.5.88:0/10-Od.5.90:7/8 | αἰδοῖος τε φίλος τε πάρος γε μέν οὐ τις θαμίζω αὐδάω ὅς τις φρονέω τελέω δέ ἐγώ θυμός ἄνωγα εἰ δύναμαι τελέω γε καί εἰ τελέω εἰμί
